nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris,Unnamed: 3,label,nb_images
Caranx latus,78,La carangue gros yeux,,20,50.0,60,1.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Caranx lugubris,80,La carangue noire,,20,70.0,80,25.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Caranx ronchus,75,La comète coussut,,20,45.0,60,30.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Carapus acus,522,L’aurin,,109,15.0,20,20.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Carcharhinus altimus,632,Le requin-babosse,,140,250.0,300,90.0,300.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Carcharhinus brachyurus,638,Le requin cuivre,,140,250.0,325,0.0,100.0,,,Parfois agressif en présence de nourriture,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Carcharhinus brevipinna,639,Le requin-tisserand,,140,200.0,300,0.0,75.0,,,,Plutôt côtier,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Carcharhinus falciformis,642,Le requin soyeux,,140,300.0,350,0.0,50.0,,,Parfois agressif,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," PRADEAU Christophe, BOURGOIS Jean-Sébastien, MÜLLER Yves in : DORIS, 21/01/2021 : Carcharhinus falciformis (Müller & Henle, 1839)",https://doris.ffessm.fr/ref/specie/4524,,,
Carcharhinus galapagensis,634,Le requin des Galapagos,,140,300.0,370,0.0,200.0,,,"Agressif et territorial, des attaques mortelles",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TISSOT Jean-Michel, LE BRIS Sylvain in : DORIS, 07/05/2021 : Carcharhinus galapagensis (Snodgrass & Heller, 1905)",https://doris.ffessm.fr/ref/specie/5090,,,
Carcharhinus isodon,640,Le requin a petites dents,,140,170.0,200,,,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
