nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_min,taille_adulte_max,profondeur_habituelle_min,profondeur_habituelle_max,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,id_doris,label,nb_images,class_img,id_worms
Atherina presbyter,66,Le prêtre,,19,12.0,15,0.0,3.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Atherina sp,64,L’atherine à points noirs,,19,8.0,10,0.0,3.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Atherinomorus lacunosus,63,L’atherine têtue,,19,12.0,14,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Auxis rochei,109,Le bonitou,,25,35.0,50,0.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Auxis thazard,107,L’auxide,,25,45.0,65,0.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Balistes capriscus,310,Le baliste commun,,73,30.0,35,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TOURENNE Murielle, PETIT DE VOIZE Patrice, SOHIER Sandra, SITTLER Alain-Pierre in : DORIS, 09/11/2020 : Balistes capriscus Gmelin, 1789",891,42.0,394.0,<rnd>,
Balistes punctatus,311,Le baliste tacheté,,73,30.0,50,1.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Balistes vetula,312,Le baliste royal,,73,30.0,50,1.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Bathytoshia centroura,678,La pastenague épineuse,,147,100.0,150,5.0,50.0,Sur le fond,,Possède un ou plusieurs aiguillons venimeux sur la queue.,"Se rencontre sur tous types de fonds meubles jusque da,s les herbiers.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," SUBRA Annie, FEY Laurent, HUET Sylvie in : DORIS, 07/01/2022 : Dasyatis centroura (Mitchill, 1815)",3887,,,<rnd>,
Belone belone,119,L’orphie,,26,70.0,80,0.0,1.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," PROUTEAU Laurence, PEAN Michel, GUICHARD Benjamin in : DORIS, 06/08/2022 : Belone belone (Linnaeus, 1760)",1031,1.0,362.0,<rnd>,
