nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_min,taille_adulte_max,profondeur_habituelle_min,profondeur_habituelle_max,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,id_doris,label,nb_images,class_img,id_worms
Echeneis naucrates,149,Le rémora rayé,,39,90.0,100,0.0,15.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Echiichthys vipera,483,La petite vive,,93,10.0,12,0.0,10.0,Vivent sur le fond,,"1ere nageoire dorsale venimeuse, piqure douloureuse",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Echiodon dentatus,523,Le fierasfer denté,,109,15.0,17,80.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Echiodon drummondii,524,Le fierasfer atlantique,,109,25.0,30,150.0,270.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Elagatis bipinnulata,88,La carangue arc-en-ciel,,20,80.0,90,10.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Eleginus nawaga,295,La morue arctique,,52,30.0,45,5.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Enchelycore anatina,507,La murène des îles,,103,80.0,110,1.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Enchelyopus cimbrius,384,La motelle à 4 barbillons,,52,30.0,44,20.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Engraulis encrasicolus,9,L’anchois,,2,15.0,17,2.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Entelurus aequoreus,595,L’entélure,,32,30.0,50,1.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Ephippion guttifer,317,Le tétraodon à points blancs,,76,40.0,80,5.0,100.0,près du fond,,"Peau, foie et gonades extrêmement toxiques ( présence de tétraodontoxine)",,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Epigonus telescopus,273,Le sonneur commun,,63,50.0,60,75.0,1200.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Epinephelus aeneus,268,Le mérou blanc,,61,80.0,100,20.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Epinephelus caninus,265,Le mérou gris,,61,100.0,120,30.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Epinephelus coioides,270,Le mérou à tâches oranges,,61,70.0,80,5.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Epinephelus costae,266,La badèche,,61,70.0,100,10.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," GUICHARD Benjamin, PETIT DE VOIZE Patrice, PASTOR Jérémy, JEGLOT Samuel in : DORIS, 15/05/2022 : Epinephelus costae (Steindachner, 1878)",494,36.0,300.0,<rnd>,
Epinephelus malabaricus,269,Le mérou de malabar,,61,80.0,100,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Epinephelus marginatus,263,Le mérou brun,,61,80.0,100,10.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ANDRÉ Frédéric, PASTOR Jérémy, HARMELIN Jean-Georges, PEAN Michel in : DORIS, 02/12/2022 : Epinephelus marginatus (Lowe, 1834)",474,35.0,793.0,<rnd>,
Equulites klunzingeri,212,Le sapsap de Mer Rouge,,49,8.0,12,0.0,10.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Esox lucius,174,Le brochet,,43,100.0,120,1.0,5.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Etmopterus spinax,615,Le sagre commun,,132,40.0,60,70.0,2000.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Etrumeus sadina,12,La sardine ronde,,1,15.0,25,0.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Euthynnus alletteratus,110,La thonite commune,,25,80.0,100,0.0,40.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Eutrigla gurnardus,462,Le grondin gris,,88,35.0,45,20.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Exocoetus obtusirostris,21,L’exocet-bouledogue,,4,18.0,24,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Exocoetus volitans,20,L’exocet commun,,4,20.0,23,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Facciolella oxyrhynchus,520,La sorcière de Facciola,,107,60.0,70,30.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Fistularia commersonii,313,Le poisson-flûte,,74,100.0,160,0.0,15.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gadus morhua,293,La morue,,52,50.0,100,30.0,200.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LESSARD Marie-Pierre, CHAMBERLAND Suzie, MASSON Stéphane, FEY Laurent in : DORIS, 01/04/2023 : Gadus morhua (Linnaeus, 1758)",867,40.0,400.0,<rnd>,
Gaidropsarus biscayensis,383,La motelle à grands yeusx de Mediterranée,,52,15.0,18,140.0,600.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gaidropsarus macrophthalmus,382,La motelle à grands yeus de l’Atlantique,,52,20.0,35,100.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gaidropsarus mediterraneus,380,La motelle à 3 barbillons,,52,25.0,30,1.0,25.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gaidropsarus mediterraneus,381,La motelle à taches blanches,,52,20.0,25,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gaidropsarus vulgaris,379,La motelle commune,,52,35.0,40,30.0,80.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Galeocerdo cuvier,630,Le requin tigre,,140,450.0,500,1.0,300.0,,,Mortel,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SITTLER Alain-Pierre, DE MADDALENA Alessandro, BURON Daniel in : DORIS, 19/01/2021 : Galeocerdo cuvier (Péron & Le Sueur, 1822)",1666,,,<rnd>,
Galeoides decadactylus,282,Le petit capitaine,,65,30.0,35,5.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Galeorhinus galeus,607,Le requin Hâ,,127,120.0,150,10.0,300.0,Pres du fond ou en pleine eau,,,Vit sur les fonds sableaux-vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 18/11/2022 : Galeorhinus galeus Linnaeus, 1758",4907,,,<rnd>,
Galeus melastomus,602,Le chien espagnol,,125,50.0,90,200.0,600.0,,,,Vit sur les fonds sablo-vaseux. Espece profonde.,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gammogobius steinitzi,422,Le gobie cavernicole de Steinitz,,85,3.5,4,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gasterosteus aculeatus,308,L’épinoche,,72,8.0,10,1.0,3.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COROLLA Jean-Pierre, FEY Laurent, KUPFER Michel in : DORIS, 27/03/2021 : Gasterosteus aculeatus Linnaeus, 1758",1449,41.0,537.0,<rnd>,
Ginglymostoma cirratum,603,Le requin-nourrice,,126,300.0,350,1.0,50.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LE BRIS Sylvain, MALIET Vincent in : DORIS, 17/11/2020 : Ginglymostoma cirratum (Bonnaterre, 1788)",3807,,,<rnd>,
Glaucostegus cemiculus,657,La raie requin,,145,180.0,200,5.0,50.0,Vit sur le fond,,,"Fréquente les fonds meubles, sableux ou vaseux, occasionnellement les herbiers ou à proximité des fonds rocheux.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Glyptocephalus cynoglossus,535,La plie-cynoglosse,,113,35.0,40,50.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gnathophis mystax,495,Le congre bec fin,,100,40.0,60,50.0,800.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius ater,395,Le gobie de Belloti,,85,5.0,7,1.0,10.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius auratus,399,Le gobie doré,,85,6.0,7,10.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius buchichii,397,Le gobie moucheté,,85,8.0,9,0.5,3.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius cobitis,390,Le gobie à grosse tête,,85,20.0,25,0.0,2.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, LOUISY Patrick, KUPFER Michel in : DORIS, 18/11/2021 : Gobius cobitis Pallas, 1814",1599,61.0,609.0,<rnd>,
Gobius couchi,389,Le gobie de couch,,85,8.0,9,0.0,10.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius cruentatus,394,Le gobie à bouche rouge,,85,13.0,15,10.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," BODILIS Pascaline, MARAN Vincent, PICHON Bernadette, LE BRIS Sylvain in : DORIS, 11/11/2020 : Gobius cruentatus Gmelin, 1789",1987,63.0,350.0,<rnd>,
Gobius fallax,398,Le gobie de sarato,,85,7.0,9,1.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, BODILIS Pascaline in : DORIS, 25/01/2021 : Gobius fallax Sarato, 1889",3378,65.0,295.0,<rnd>,
Gobius gasteveni,393,Le gobie de Steven,,85,9.0,10,5.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius geniporus,396,Le gobie svelte,,85,12.0,14,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, PASTOR Jérémy in : DORIS, 16/04/2021 : Gobius geniporus Valenciennes, 1837",722,64.0,305.0,<rnd>,
Gobius niger,391,Le gobie noir,,85,12.0,13,0.0,10.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," BODILIS Pascaline, LE BRIS Sylvain, FRANCOUR Patrice in : DORIS, 11/04/2021 : Gobius niger Linnaeus, 1758",1819,62.0,891.0,<rnd>,
Gobius ophiocephalus,402,Le gobie-lote,,85,18.0,20,1.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius paganellus,388,Le gobie paganel,,85,8.0,10,0.0,3.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," WEBER Matthias, SITTLER Alain-Pierre, REGUIEG Aedwina, CHANET Bruno in : DORIS, 09/07/2022 : Gobius paganellus Linnaeus, 1758",1181,60.0,574.0,<rnd>,
Gobius roulei,392,Le gobie de roule,,85,6.0,8,3.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius vittatus,401,Le gobie rayé,,85,4.0,5,20.0,40.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gobius xanthocephalus,400,Le gobie à tête jaune,,85,7.0,8,5.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," CHEVALLIER Frédérik, LE GRANCHÉ Philippe in : DORIS, 16/09/2022 : Gobius xanthocephalus Heymer & Zander, 1992",674,66.0,331.0,<rnd>,
Gouania willdenowi,577,La gouanie,,124,5.0,6,0.0,1.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Grammonus ater,214,Le faufré noir,,51,8.0,10,5.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gymnammodytes cicerelus,166,La cicerelle de mediterranée,,41,12.0,18,1.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gymnammodytes semisquamatus,167,La cicerelle de l’Atlantique,,41,20.0,25,10.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gymnocanthus tricuspis,373,Le tricorne arctique,,84,15.0,30,0.0,200.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gymnothorax unicolor,503,La murène chocolat,,103,80.0,90,1.0,80.0,Vivent sur le fond,,Morsure possible,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Gymnothorax vicinus,506,La murène grise,,103,50.0,50,1.0,40.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Halobatrachus didactylus,485,Le poisson-crapaud,,95,35.0,40,5.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Helicolenus dactylopterus,368,Le sebaste chèvre,,83,30.0,40,100.0,300.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hemiramphus far,124,Le demi bec à barres noires,,28,30.0,44,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Heptranchias perlo,622,Le requin-perlon,,136,120.0,140,50.0,400.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 29/11/2020 : Heptranchias perlo Bonnaterre, 1788",4902,,,<rnd>,
Herklotsichthys punctatus,11,Le hareng tacheté,,1,7.0,"8,5",0.0,20.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Heteroconger longissimus,500,Le congre jardinier,,100,40.0,50,12.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Heteropriacanthus cruentatus,255,Le beauclair de roche,,60,20.0,25,5.0,15.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hexanchus griseus,620,Le requin-griset,,136,400.0,500,80.0,1000.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DUMAS Jacques, ADER Denis, MALIET Vincent, SITTLER Alain-Pierre in : DORIS, 08/11/2020 : Hexanchus griseus (Bonnaterre, 1788)",https://doris.ffessm.fr,,,<rnd>,
Hexanchus nakamurai,621,Le requin-vache,,136,150.0,180,0.0,600.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hippocampus fuscus,585,L’hippocampe terne,,32,12.0,15,,,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hippocampus guttulatus,584,L’hippocampe moucheté,,32,10.0,12,1.0,10.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ADER Denis, BARRABES Michel, HUET Sylvie in : DORIS, 12/03/2022 : Hippocampus guttulatus Cuvier, 1829",302,90.0,586.0,<rnd>,
Hippocampus hippocampus,587,L’hippocampe à nez court,,32,9.0,11,1.0,10.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," BARRABES Michel, ADER Denis, LOUISY Patrick, DIDIERLAURENT Sylvie in : DORIS, 19/10/2022 : Hippocampus hippocampus (Linnaeus, 1758)",299,92.0,429.0,<rnd>,
Hippocampus histrix,586,L’hippocampe à ramules,,32,10.0,14,,,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,91.0,782.0,<rnd>,
Hippoglossoides platessoides,538,Le balai,,113,30.0,35,40.0,200.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hippoglossus hippoglossus,536,Le flétan,,113,150.0,180,5.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hirundichthys rondeletii,16,Le poisson volant à ailes noires,,4,25.0,30,0.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hirundichthys speculiger,17,Le poisson volant à ailes bordées,,4,20.0,25,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Huso huso,163,Le beluga,,40,150.0,250,70.0,120.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hyperoglyphe perciformis,25,Le rouffe des epaves,,5,60.0,90,0.0,100.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hyperoplus immaculatus,168,Le lançon jolivet,,41,25.0,30,10.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hyperoplus lanceolatus,169,Le lançon commun,,41,30.0,35,3.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hypleurochilus bananensis,345,La blennie à tentacules touffus,,82,8.0,9,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hyporhamphus affinis,125,Le demi bec tropical,,28,25.0,30,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hyporhamphus picarti,123,Le demi bec africain,,28,14.0,18,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Hyporthodus haifensis,264,Le mérou de Haïfa,,61,70.0,80,80.0,150.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Icelus bicornis,374,Le chaboisseau bicorne,,84,10.0,16,0.0,560.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Istiophorus platypterus,127,Le voilier de l’atlantique,,30,250.0,315,0.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Isurus oxyrinchus,628,Le requin mako,,139,300.0,350,0.0,740.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," VIEUX-INGRASSIA Jean-Vincent, JEGLOT Samuel in : DORIS, 29/11/2020 : Isurus oxyrinchus Rafinesque, 1810",4903,,,<rnd>,
Isurus paucus,629,Le petit requin taupe,,139,250.0,300,0.0,500.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Katsuwonus pelamis,108,La bonite à ventre rayé,,25,80.0,90,0.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Knipowitschia caucasica,448,Le gobie du caucase,,85,4.0,5,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Knipowitschia longecaudata,449,Le gobie à longue queue,,85,3.0,3.7,1.0,3.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Knipowitschia panizzae,451,Le gobie de lagune,,85,3.0,3.7,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Kyphosus sectatrix,202,La calicagère blanche,,45,50.0,60,2.0,15.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Labrus bergylta,216,La vielle,,53,30.0,50,1.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," PETIT DE VOIZE Patrice, LAMARE Véronique, JEGLOT Samuel in : DORIS, 09/11/2020 : Labrus bergylta Ascanius, 1767",872,14.0,338.0,<rnd>,
